season,week,game_id,gameday,away,home,location,observedMargin,h4Base,homeStrength,awayStrength,baselineMargin,residual,bookNetSUnits,travelMiles,EXT_ALTITUDE_HIGH,EXT_BYE_STRENGTH,EXT_REST_DIFF_DAYS,EXT_SURFACE_AWAY_SYNTH_MISMATCH,EXT_TRAVEL_1000MI,EXT_TRAVEL_1250_1999,EXT_TRAVEL_750_1249,EXT_TRAVEL_X_ROAD,EXT_TZ_EARLY_EASTWARD,EXT_TZ_NIGHT_WESTWARD,S_AWAY_BOUNCE,S_AWAY_BYE,S_AWAY_OFF_AWAY_OT,S_AWAY_OFF_HOME_OT,S_AWAY_OFF_MNF_AWAY,S_AWAY_OFF_MNF_HOME,S_DIFFERENT_CONFERENCE,S_EARLY_MOUNTAIN,S_EARLY_WEST,S_HOME_BOUNCE,S_HOME_BYE,S_HOME_MONDAY_NIGHT,S_HOME_OFF_AWAY_OT,S_HOME_OFF_HOME_OT,S_HOME_OFF_MNF_AWAY,S_HOME_SUNDAY_NIGHT,S_HOME_THURSDAY_NIGHT,S_NIGHT_CENTRAL,S_NIGHT_EAST,S_NIGHT_MOUNTAIN,S_SAME_DIVISION,S_SB_LOSER,S_SB_WINNER,S_SECOND_REMOTE_TWO_TZ,S_THIRD_AWAY_IN_FOUR,S_TRAVEL_2000_PLUS,S_TURF_OPPOSITE,S_TURF_SAME
2021,3,2021_03_CIN_PIT,2021-09-26,CIN,PIT,Home,-14.0,2.082,1.451316,-4.910382,8.443697,-22.443697,0.0,256.539705,0.0,0.0,0.0,1.0,0.25654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2021,3,2021_03_GB_SF,2021-09-26,GB,SF,Home,-2.0,2.082,2.51603,0.404019,4.194012,-6.194012,12.0,1821.660263,0.0,0.0,1.0,0.0,1.82166,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
2021,3,2021_03_IND_TEN,2021-09-26,IND,TEN,Home,9.0,2.082,0.976894,0.747182,2.311712,6.688288,-2.0,250.486953,0.0,0.0,0.0,1.0,0.250487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2021,3,2021_03_LAC_KC,2021-09-26,LAC,KC,Home,-6.0,2.082,7.344218,2.436214,6.990004,-12.990004,0.0,1366.48133,0.0,0.0,0.0,1.0,1.366481,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-2.0,0.0,0.0,0.0,0.0,1.0,0.0
2021,3,2021_03_MIA_LV,2021-09-26,MIA,LV,Home,3.0,2.082,-5.333804,-8.178484,4.92668,-1.92668,-4.0,2170.588817,0.0,0.0,0.0,0.0,2.170589,0.0,0.0,0.0,0.0,0.0,-4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.0
2021,3,2021_03_NO_NE,2021-09-26,NO,NE,Home,-15.0,2.082,6.297471,6.632591,1.74688,-16.74688,-2.0,1339.813841,0.0,0.0,0.0,0.0,1.339814,1.0,0.0,0.0,1.0,0.0,-2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
2021,3,2021_03_NYJ_DEN,2021-09-26,NYJ,DEN,Home,26.0,2.082,-0.317367,-5.672359,7.436991,18.563009,-1.0,1624.394134,1.0,0.0,0.0,1.0,1.624394,1.0,0.0,0.0,0.0,0.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2021,3,2021_03_PHI_DAL,2021-09-27,PHI,DAL,Home,20.0,2.082,2.397277,0.912883,3.566394,16.433606,8.0,1312.507638,0.0,0.0,0.0,0.0,1.312508,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2021,3,2021_03_SEA_MIN,2021-09-26,SEA,MIN,Home,13.0,2.082,2.7243,2.940784,1.865515,11.134485,3.0,1391.700371,0.0,0.0,0.0,0.0,1.3917,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
2021,3,2021_03_TB_LA,2021-09-26,TB,LAR,Home,10.0,2.082,5.406928,-0.647877,8.136805,1.863195,0.0,2151.718042,0.0,0.0,0.0,0.0,2.151718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,0.0,0.0,1.0,1.0,0.0
